date,smp_max,smp_min,smp_mean,supply
2020-05-25,209.9741065529306,83.0785194853075,138.06691474200338,79.85496544775933
2020-05-26,209.84778636672468,83.44147025903065,138.13783954857234,77.77853294948154
2020-05-27,209.25172792840044,81.15063249450917,137.8557570543357,76.72538992775893
2020-05-28,208.80627122930736,81.09837860734254,138.77925930637016,76.26431294663023
2020-05-29,207.37115399459617,81.77085246695535,137.2887419840992,79.19934385767166
2020-05-30,210.55295543713896,82.37114259553938,136.30452256746688,71.25684463842151
2020-05-31,206.80567606732993,82.68480797404848,134.86710761914932,78.77794829932185
2020-06-01,211.19071631119377,79.64428307037117,150.55106634402685,81.2871440268744
2020-06-02,198.31061060638893,79.61637899678871,150.74456782995296,78.95619212320725
2020-06-03,195.48201492679146,76.40936659922463,151.2333563138783,74.74222754127831
2020-06-04,197.34730196882555,78.46833802581499,151.16823605769866,78.23598599271823
2020-06-05,196.87933983009665,79.4798871514771,151.2126566573869,78.6878808807507
2020-06-06,203.7502850042697,79.41172364150839,149.27093465915263,81.90370092724831
2020-06-07,199.0833730977326,79.13778995315002,148.43364129604734,82.52676970790198
2020-06-08,198.954217918043,80.05204938104136,148.56274549631797,83.26392793982443
2020-06-09,199.69866057316835,79.49685910745274,148.91042249924567,84.16457544780702
2020-06-10,198.71167700488175,77.82436579648677,150.49701435171758,78.54044911692098
2020-06-11,201.65519841534837,79.01500009162518,150.34949586162574,79.9303810076209
2020-06-12,199.161974749447,79.72158144484123,150.44877665941578,78.14364670500056
2020-06-13,198.12787890450446,80.68643178773544,148.1610687503683,77.27056037926111
2020-06-14,200.40573970547467,81.2950270155553,147.40983201726527,79.28025496347257
2020-06-15,200.494821299728,82.66516135512742,147.7097561001132,84.21283490496367
2020-06-16,198.12771110223127,81.2978469598834,149.8964673246845,76.53562552148476
2020-06-17,200.19992785725776,80.13358972642826,149.64742717375563,77.84951550656795
2020-06-18,209.7576025791049,80.88887408650187,149.83305826730734,81.3250352028529
2020-06-19,199.57836275729377,81.71879050831778,150.40142411116713,78.89363190493505
2020-06-20,198.50440248507022,80.9255299367736,150.59987836388282,78.27670302198428
2020-06-21,214.04955647709875,82.12484956467952,149.35929280377235,81.27483225174804
